Country,combined figures (kg/capita/year),Household estimate (kg/capita/year),Household estimate (tonnes/year),Retail estimate (kg/capita/year),Retail estimate (tonnes/year),Food service estimate (kg/capita/year),Food service estimate (tonnes/year),Confidence in estimate,M49 code,Region,Source
Bahamas,113,74,28792,13,4990,26,9960,Low Confidence,44,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2049
Bahrain,171,132,216161,13,21026,26,41966,Low Confidence,48,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2229
Bangladesh,84,65,10618233,16,2550080,3,544436,Very Low Confidence,50,Southern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2152
Barbados,113,74,21215,13,3677,26,7339,Low Confidence,52,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2050
Belarus,112,68,646356,16,147838,28,261341,Very Low Confidence,112,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2035
Belgium,80,50,576036,10,112100,20,227371,Medium Confidence,56,Western Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2246
Belize,97,53,20564,16,6106,28,10794,Very Low Confidence,84,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2051
Benin,144,100,1175297,16,184573,28,326280,Very Low Confidence,204,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2177
Bermuda,113,74,4606,13,801,26,1598,Low Confidence,60,Northern America,https://www.unep.org/resources/report/unep-food-waste-index-report-2114
Bhutan,123,79,60000,16,11935,28,21098,Very Low Confidence,64,Southern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2153
Bolivia (Plurin. State of),124,80,922012,16,180068,28,318315,Very Low Confidence,68,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2052
Bosnia and Herzegovina,127,83,273269,16,51628,28,91266,Very Low Confidence,70,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2162
Botswana,136,92,211802,16,36030,28,63693,Very Low Confidence,72,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2178
Brazil,104,60,12578308,16,3300862,28,5835112,Very Low Confidence,76,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2054
British Virgin Islands,113,74,2218,13,384,26,767,Low Confidence,92,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2055
Brunei Darussalam,119,80,34739,13,5551,26,11080,Low Confidence,96,South-eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2140
Bulgaria,112,68,478667,16,109483,28,193539,Very Low Confidence,100,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2036
Burkina Faso,147,103,2086893,16,317831,28,561848,Very Low Confidence,854,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2179
Burundi,147,103,1184127,16,180341,28,318799,Very Low Confidence,108,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2180
Cabo Verde,144,100,54765,16,8601,28,15204,Very Low Confidence,132,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2181
Cambodia,130,86,1423397,16,257853,28,455820,Very Low Confidence,116,South-eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2141
Cameroon,144,100,2577064,16,404713,28,715433,Very Low Confidence,120,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2182
Canada,118,79,2938321,13,479284,26,956615,Low Confidence,124,Northern America,https://www.unep.org/resources/report/unep-food-waste-index-report-2115
Cayman Islands,113,74,4797,13,831,26,1660,Low Confidence,136,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2056
Central African Republic,147,103,487305,16,74216,28,131196,Very Low Confidence,140,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2183
Chad,147,103,1637656,16,249413,28,440901,Very Low Confidence,148,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2184
Chile,113,74,1400946,13,242800,26,484611,Low Confidence,152,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2057
China,126,64,91646213,16,22424705,46,65377741,Very Low Confidence,156,Eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2028
Colombia,114,70,3545499,16,787320,28,1391787,Very Low Confidence,170,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2058
Denmark,132,81,469449,30,172003,21,119134,High Confidence,208,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2119
Egypt,135,91,9136941,16,1570093,28,2775538,Very Low Confidence,818,Northern Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2108
France,135,85,5522358,26,1667568,24,1594579,Medium Confidence,250,Western Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2247
Germany,102,75,6263775,6,498244,21,1718433,High Confidence,276,Western Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2248
India,94,50,68760163,16,21371087,28,37778821,Very Low Confidence,356,Southern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2154
Indonesia,121,77,20938252,16,4232646,28,7482277,Very Low Confidence,360,South-eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2142
Italy,97,67,4059806,4,219552,26,1548291,High Confidence,380,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2167
Japan,88,64,8159891,9,1095308,15,1870735,Medium Confidence,392,Eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2032
Mexico,138,94,11979364,16,1995310,28,3527217,Very Low Confidence,484,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2076
Nigeria,233,189,37941470,16,3143117,28,5556257,Very Low Confidence,566,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2211
Russia,75,33,4868564,14,2001062,28,4033088,Medium Confidence,643,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2042
Saudi Arabia,151,105,3594080,20,673502,26,876260,High Confidence,682,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2239
South Africa,84,40,2329228,16,915865,28,1619024,Very Low Confidence,710,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2220
Spain,116,77,3613954,13,598760,26,1195080,Low Confidence,724,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2175
United Kingdom,98,77,5199825,4,283627,17,1114248,High Confidence,826,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2130
United States of America,139,59,19359951,16,5151313,64,20934827,High Confidence,840,Northern America,https://www.unep.org/resources/report/unep-food-waste-index-report-2118
